Thesis #,Author,Year,Title,Academic department,City,University,No. of pages,Thesis type,Label,Keywords,
,Species abundance,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
TD-00196,"Kale, S. S.",1996,Biosystematic study of cestode parasites of birds and reptiles from Ausa region,Department of Zoology,,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",,Ph.D.,TD-00196,Landbirds,
,Wetland birds,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Parasitology,,,,,,,,,,
,Infections,,,,,,,,,,
TD-00199,"Vijayakumar, T. N.",1995,Resource utilization by birds attending figs in south India,Department of Zoology,,"University of Calicut, Kozhikode",,Ph.D.,TD-00199,Landbirds,
,Malabar Plains,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Evergreen forest,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Competition,,,,,,,,,,
,Plant-bird interactions,,,,,,,,,,
,Frugivory,,,,,,,,,,
,Frugivores,,,,,,,,,,
,Fig,,,,,,,,,,
,Food availability,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Seed dispersal,,,,,,,,,,
,Fruiting phenology,,,,,,,,,,
,Time-budgeting,,,,,,,,,,
TD-00202,"Oommen, M.",2010,Studies on some aspects of the biology and ecology of the White-breasted Kingfisher Halcyon smyrnensis fusca (Boddaert)(Aves:alcedinidae),,,"Mahatma Gandhi University, Kottayam",,Ph.D.,TD-00202,Kingfishers,
,Halcyon smyrnensis,,,,,,,,,,
,Alcedinidae,,,,,,,,,,
,Malabar Plains,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Woodland,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species co-occurrence,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Pair formation,,,,,,,,,,
,Gonadal cycle,,,,,,,,,,
,Feather moulting,,,,,,,,,,
,Piscivores,,,,,,,,,,
,Thyroid glands,,,,,,,,,,
,Endocrinology,,,,,,,,,,
,Ecophysiology,,,,,,,,,,
TD-00203,"Patel, C. S.",1994,"Pineal, pineal indoles and photoperiodism in relation to seasonal reproductive functions and metabolic physiology of male feral Blue Rock Pigeon, Columba livia",Department of Zoology,,"Maharaja Sayajirao University of Baroda, Vadodara",,Ph.D.,TD-00203,Pigeons,
,Columba livia,,,,,,,,,,
,Columbidae,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Woodland,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Photoperiod,,,,,,,,,,
,Pineal gland,,,,,,,,,,
,Harmonal studies,,,,,,,,,,
,Carbohydrate metabolism,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
,Reproductive biology,,,,,,,,,,
,Endocrinology,,,,,,,,,,
TD-00205,"Krishna, M. B.",1992,Some studies on the avian communities of selected habitats in Karnataka,Department of Zoology,Bangalore,Bangalore University,128,Ph.D.,TD-00205,Landbirds,
,Deccan Plateau,,,,,,,,,,
,Evergreen forest,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Moist deciduous forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Community composition,,,,,,,,,,
,Community structure,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Competition,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00210,"Thiyagesan, K.",1993,"Ecology of cavity nesting birds in and around Mayiladuthurai, Tamil Nadu, South India","Department of Wildlife Biology, AVC College",Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,Ph.D.,TD-00210,Landbirds,
,Coromandel Plains,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Woodland,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Species richness,,,,,,,,,,
,Nidification behaviour,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Nest-site selection,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Cavity dimensions,,,,,,,,,,
TD-00216,"Dey, M.",1992,Cytological studies on the pineal-gonadal interactions in male Rose-ringed Parakeet under natural and experimental conditions,Department of Zoology,,"University of Burdwan, Burdwan",,Ph.D,TD-00216,Parakeets,
,Psittacula krameri,,,,,,,,,,
,Psittaculidae,,,,,,,,,,
,Woodland,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Lower Gangetic Plains,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Pineal gland,,,,,,,,,,
,Gonadal cycle,,,,,,,,,,
,Endocrinology,,,,,,,,,,
TD-00218,"Majumdar, S. R.",1999,"Effects of sub-lethal dose of some toxic chemicals on the digestive system in Indian House Sparrow, Passer domesticus indicus",Department of Zoology,,"University of Burdwan, Burdwan",,Ph.D.,TD-00218,Sparrows,
,Passer domesticus,,,,,,,,,,
,Passeridae,,,,,,,,,,
,Lower Gangetic Plains,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Crop fields,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Avian disease and health,,,,,,,,,,
,Species richness,,,,,,,,,,
,Toxicology,,,,,,,,,,
,Lethal dosage,,,,,,,,,,
,Scanning Electron Microscope,,,,,,,,,,
,Digestive system,,,,,,,,,,
,Heavy metal toxicity,,,,,,,,,,
,Tissue damage,,,,,,,,,,
TD-00219,"Mal, J.",1999,"Role of thyroid in the regulation of testicular annual cycle in adult Rose-ringed Parakeet, Psittacula krameri",Department of Zoology,,"Uiversity of Burdwan, Burdwan",,Ph.D.,TD-00219,Parakeets,
,Psittacula krameri,,,,,,,,,,
,Psittaculidae,,,,,,,,,,
,Lower Gangetic Plains,,,,,,,,,,
,Woodland,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Avian physiology & anatomy,,,,,,,,,,
,Photoperiod,,,,,,,,,,
,Thyroid glands,,,,,,,,,,
,Reproductive biology,,,,,,,,,,
,Endocrinology,,,,,,,,,,
TD-00220,"Alphonse, J. J.",1997,"Breeding ecology of Brahminy Kite, Haliastur indus in Cauvery delta South India",Department of Zoology,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,TD-00220,Raptors,
,Accipitridae,,,,,,,,,,
,Haliastur indus,,,,,,,,,,
,Coromandel Plains,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Woodland,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Water availability,,,,,,,,,,
,Piscivores,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Breeding territories,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Nest site fidelity,,,,,,,,,,
,Nest site selection,,,,,,,,,,
TD-00221,"Nagarajan, R.",1998,"Nest characteristics productivity and nestling growth pattern of the Barn Owl, Tyto alba stertens Hartert 1929 in an agro-environment of Tamil nadu, Southern India",Department of Zoology,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,TD-00221,Barn owls,
,Tytonidae,,,,,,,,,,
,Tyto alba,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Woodland,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Nestling growth pattern,,,,,,,,,,
,Parental care,,,,,,,,,,
TD-00224,"Dhindsa, M. S.",1980,Ecological studies on the weaver birds of the Punjab and their control,,Ludhiana,"Punjab Agricultural University, Ludhiana",305,Ph.D.,TD-00224,Weavers,
,Species ecology,,,,,,,,,,
,Ploceus philippinus philippinus,,,,,,,,,,
,Ploceus benghalensis,,,,,,,,,,
,Ploceus manyar flaviceps,,,,,,,,,,
,Ploceidae,,,,,,,,,,
,Morphometrics,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Punjab Plains,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Crop fields,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Crop damage,,,,,,,,,,
,Economic ornithology,,,,,,,,,,
,Pestiferous birds,,,,,,,,,,
,Cropping seasonality,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Breeding density,,,,,,,,,,
,Biological control,,,,,,,,,,
TD-00229,"Neelanarayanan, P.",1997,"Predatory pressure of Barn Owl (Tyto alba stertens Hartert, 1929) on rodent pests - a field evaluation",,,"Bharathidasan University, Tiruchirappalli",,Ph.D.,TD-00229,Barn owls,
,Tytonidae,,,,,,,,,,
,Tyto alba,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Crop fields,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Rodent pests,,,,,,,,,,
,Biological control,,,,,,,,,,
,Bioagents,,,,,,,,,,
,Economic ornithology,,,,,,,,,,
,Predation,,,,,,,,,,
,Prey selection,,,,,,,,,,
TD-00233,"Rajaraman, S. K.",2001,"Studies on waterbirds of coastal sand flats of Chinnangudi, Nagappattinam district, Tamil Nadu",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",33,M.Sc.,TD-00233,Shorebirds,
,Coastal birds,,,,,,,,,,
,Coromandel Coast,,,,,,,,,,
,Coastal ecosystem,,,,,,,,,,
,Sand flats,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Habitat quality,,,,,,,,,,
,Migrants,,,,,,,,,,
TD-00239,"Lelliott, A. D.",1981,"Studies of Himalayan pheasants in Nepal, with reference to their conservation",,,"University of Durham, Durham",,M.Sc.,TD-00239,Galliformes,
,Pheasants,,,,,,,,,,
,Siwalik Hills,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Meadows,,,,,,,,,,
,Alpine forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species co-existence,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Population density,,,,,,,,,,
,Vocalization,,,,,,,,,,
,Habitat degradation,,,,,,,,,,
,Protective behaviour,,,,,,,,,,
,Pastoralism,,,,,,,,,,
,Conservation strategy,,,,,,,,,,
,Nepal,,,,,,,,,,
TD-00244,"Bhupathy, S.",1985,"Ecology of Purple Moorhens Porphyrio porphyrio poliocephalus (Latham) from January to March 1985 in Keoladeo National Park, Bharatpur",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc.,TD-00244,Rails,
,Rallidae,,,,,,,,,,
,Porphyrio porphyrio,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Marshes,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Ecophysiology,,,,,,,,,,
,Population structure,,,,,,,,,,
,Population density,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Food availability,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
,Territorial behaviour,,,,,,,,,,
TD-00245,"Jayaraman, S.",1985,"Wintering ecology of Coots Fulica atra atra (Linn.) from January to March 1985 in Keoladeo National Park, Bharatpur (Rajasthan)",A.V.C. College,Mayiladuthurai,"Bharatidasan University, Tiruchirappalli",46,M.Sc.,TD-00245,Coots,
,Rallidae,,,,,,,,,,
,Fulica atra,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Swamps,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Ecophysiology,,,,,,,,,,
,Winter migrant,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Seasonality,,,,,,,,,,
,Seasonal movements,,,,,,,,,,
TD-00259,"Santhanakrishnan, R.",1987,"Studies on population, food habits and nesting of Barn Owl, Tyto alba (Scopoli) in a portion of Cauvery basin",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Phil,TD-00259,Barn owls,
,Tytonidae,,,,,,,,,,
,Tyto alba,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Woodland,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,River basin,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Food availability,,,,,,,,,,
,Rodent pests,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Nest characteristics,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
TD-00261,"Goyal, M.",,"Preliminary survey of House Sparrow  (Passer domesticus) in three different areas of Haridwar, Uttaranchal",Department of Environmental Science,,"Gurukul Kangri University, Haridwar",,M.Sc.,TD-00261,Sparrows,
,Passeridae,,,,,,,,,,
,Passer domesticus,,,,,,,,,,
,Urban ecosystem,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Upper Gangetic Plains,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Population density,,,,,,,,,,
,Population pattern,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat modification,,,,,,,,,,
,Nest site selection,,,,,,,,,,
,Habitat loss,,,,,,,,,,
,Threat assessment,,,,,,,,,,
TD-00262,"Qadri, S. S.",2015,Ecological factors affecting waterfowl in the wetlands of Kashmir,Centre of Research for Development,,"University of Kashmir, Srinagar",,Ph.D.,TD-00262,Waterfowl,
,Kashmir Valley,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Ecophysiology,,,,,,,,,,
,Water pollution,,,,,,,,,,
,Water quality parameters,,,,,,,,,,
,Water availability,,,,,,,,,,
,Ice cover,,,,,,,,,,
,Floating vegetation,,,,,,,,,,
,Winter migrant,,,,,,,,,,
,Ducks,,,,,,,,,,
,Nutrient content,,,,,,,,,,
TD-00263,"Rajadurai, T.",1988,"Present distribution and status of Indian Peafowl (Pavo cristatus) in Viralimalai Area, Tamil Nadu, south India",AVC College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,M.Sc.,TD-00263,Galliformes,
,Phasianidae,,,,,,,,,,
,Pavo cristatus,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Woodland,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species distribution,,,,,,,,,,
,Flagship species,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Foraging behaviour,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Roosting behaviour,,,,,,,,,,
TD-00265,"Kaul, R.",1989,Ecology of Cheer Pheasant Catreus wallichii in Kumaun Himalaya,Department of Botany,Srinagar,"University of Kashmir, Srinagar",216,Ph.D.,TD-00265,Galliformes,
,Phasianidae,,,,,,,,,,
,Catreus wallichii,,,,,,,,,,
,Kashmir Valley,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Meadows,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Habitat management,,,,,,,,,,
,Habitat loss,,,,,,,,,,
,Grazing,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding seasonality,,,,,,,,,,
,Breeding habitat,,,,,,,,,,
TD-00266,"Maranko, M.",1989,"Behaviour of the Siberian Cranes (Grus leucogeranus) at Keoladeo National Park, Bharatpur, Rajasthan, during the winter of 1987-1988",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli.",83,M.Phil.,TD-00266,Cranes,
,Gruidae,,,,,,,,,,
,Leucogeranus leucogeranus,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Marshes,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat utilization,,,,,,,,,,
,Winter ecology,,,,,,,,,,
,Feeding habits,,,,,,,,,,
,Omnivores,,,,,,,,,,
,Migrating routes,,,,,,,,,,
TD-00267,"Middleton, B. A.",1989,"Succession and goose herbivory in monsoonal wetlands of the Keoladeo National Park, Bharatpur, India",,,"Iowa State University, Ames",,Ph.D.,TD-00267,Ducks & Geese,
,Gujarat Rajputana,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Winter ecology,,,,,,,,,,
,Water availability,,,,,,,,,,
,Water depth,,,,,,,,,,
,Monsoon ,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Vegetation,,,,,,,,,,
,Floating vegetation,,,,,,,,,,
,Migrants,,,,,,,,,,
,Herbivory,,,,,,,,,,
,Succession,,,,,,,,,,
TD-00271,"Raman, T. R. S.",1995,"Shifting cultivation and conservation of tropical forest bird communities in Mizoram, north-east India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,M.Sc.,TD-00271,Landbirds,
,North-eastern Hills,,,,,,,,,,
,Evergreen forest,,,,,,,,,,
,Semi-evergreen forests,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Community composition,,,,,,,,,,
,Shifting cultivation,,,,,,,,,,
,Vegetation succession,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Species richness,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Restoration,,,,,,,,,,
TD-00272,"Pai, A.",1993,"Avian communities in the riparian areas of Bori Wildlife Sanctuary, India",Wildlife Institute of India,Dehradun,"Saurashtra University, Rajkot",,M.Sc.,TD-00272,Landbirds,
,Waterbirds,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,River bank,,,,,,,,,,
,Dry deciduous forests,,,,,,,,,,
,Habitat ecology ,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat structure,,,,,,,,,,
,Community composition,,,,,,,,,,
,Riparian vegetation,,,,,,,,,,
,Species richness,,,,,,,,,,
,Activity pattern,,,,,,,,,,
,Seasonal changes,,,,,,,,,,
,Anthropogenic disturbance,,,,,,,,,,
,Habitat selection,,,,,,,,,,
TD-00276,"Mundkur, T.",1991,Nesting and feeding ecology of aquatic birds in Saurashtra and Gulf of Kachchh,,,"Saurashtra University, Rajkot",,Ph.D.,TD-00276,Waterbirds,
,Wetland birds,,,,,,,,,,
,Waterfowl,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Wetlands,,,,,,,,,,
,Waterbodies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Species diversity,,,,,,,,,,
,Winter migrant,,,,,,,,,,
,Habitat quality,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Breeding biology,,,,,,,,,,
TD-00279,"Soni, A. C.",1991,Food habit and morphometrics of the Rose-ringed Parakeet Psittacula krameri (Scopoli),,,"Gujarat Agricultural University, Anand",,M.Sc.,TD-00279,Parakeets,
,Psittaculidae,,,,,,,,,,
,Psittacula krameri,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Woodland,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Food availability,,,,,,,,,,
,Frugivores,,,,,,,,,,
,Granivores,,,,,,,,,,
,Morphometrics,,,,,,,,,,
,Pestiferous birds,,,,,,,,,,
,Crop damage,,,,,,,,,,
TD-00284,"Zaibin, A. P.",2016,Insular biogeography of the Nicobar Islands from a bird community prespective,Sálim Ali Centre for Ornithology and Natural History,Coimbatore,"Bharathiar University, Coimbatore",,Ph.D.,TD-00284,Landbirds,
,Wetland birds,,,,,,,,,,
,Nicobar Islands,,,,,,,,,,
,Islands,,,,,,,,,,
,Littoral habitat,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Plantation forests,,,,,,,,,,
,Mangrove ecosystem,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Habitat adaptations,,,,,,,,,,
,Habitat management,,,,,,,,,,
,Habitat loss,,,,,,,,,,
,Tsunami,,,,,,,,,,
,Disaster management,,,,,,,,,,
,Community composition,,,,,,,,,,
,Community structure,,,,,,,,,,
,Species abundance,,,,,,,,,,
,Nestedness,,,,,,,,,,
,Species co-occurrence,,,,,,,,,,
,Avian biogeography,,,,,,,,,,
TD-00287,"Chauhan, R. B.",1994,"Food habit, breeding performance and morphometrics of the Indian Myna Acridotheres tristis L.",,,"Gujarat Agricultural University, Anand",,Ph.D,TD-00287,Starlings,
,Sturnidae,,,,,,,,,,
,Acridotheres tristis,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,Farmlands,,,,,,,,,,
,Shrublands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Ecomorphology,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Insectivores,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Cavity nesting,,,,,,,,,,
,Nest site selection,,,,,,,,,,
TD-00288,"Nirmala Devi, R.",1994,"Studies on the ecology of waders at Pichavaram, Tamil Nadu, South India during January to March, 1994",A.V.C. College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",35,M.Sc.,TD-00288,Waders,
,Coastal birds,,,,,,,,,,
,Coromandel Coast,,,,,,,,,,
,Mangrove ecosystem,,,,,,,,,,
,Coastal forests,,,,,,,,,,
,Community ecology,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Habitat matrix,,,,,,,,,,
,Bird density,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Mudflats,,,,,,,,,,
TD-00289,"Asokan, S.",1995,"Ecology of the Small Green Bee-eater Merops orientalis Latham 1801, with special reference to its population, feeding and breeding in Mayiladuthurai, Tamil Nadu, South India",A V C College,Mayiladuthurai,"Bharathidasan University, Tiruchirappalli",,Ph.D.,TD-00289,Bee-eaters,
,Meropidae,,,,,,,,,,
,Merops orientalis ,,,,,,,,,,
,Deccan Plateau,,,,,,,,,,
,Scrub forests,,,,,,,,,,
,River bank,,,,,,,,,,
,Farmlands,,,,,,,,,,
,Human habitations,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Population ecology,,,,,,,,,,
,Population density,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Insectivores,,,,,,,,,,
,Insect availability,,,,,,,,,,
,Pellet analysis,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Nesting biology,,,,,,,,,,
,Nestling growth pattern,,,,,,,,,,
TD-00292,"Kumar, R. S.",1997,"Winter habitat use by Himalayan Monal Lophophorus impejanus in Kedarnath Wildlife Sanctuary, western Himalaya",,,"Wildlife Institute of India, Dehradun",,M.Sc.,TD-00292,Galliformes,
,Phasianidae,,,,,,,,,,
,Lophophorus impejanus,,,,,,,,,,
,Western Himalayas,,,,,,,,,,
,Sub-alpine forests,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat ecology,,,,,,,,,,
,Habitat preference,,,,,,,,,,
,Habitat use,,,,,,,,,,
,Winter ecology,,,,,,,,,,
TD-00294,"Borad, C. K.",1998,Appraisal of damage potential and breeding ecology of the Indian Sarus Crane Grus antigone antigone Linnaeus in Paddy crop agroecosystem,,,"Gujarat Agricultural University, Anand",,,TD-00294,Cranes,
,Gruidae,,,,,,,,,,
,Antigone antigone,,,,,,,,,,
,Gujarat Rajputana,,,,,,,,,,
,Agro-ecosystem,,,,,,,,,,
,Farmlands,,,,,,,,,,
,Paddy fields,,,,,,,,,,
,Behavioural ecology,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Crop damage,,,,,,,,,,
,Breeding biology,,,,,,,,,,
,Feeding ecology,,,,,,,,,,
,Conservation biology,,,,,,,,,,
,Pestiferous birds,,,,,,,,,,
TD-00296,"Khaling, S.",1999,"Certain aspects of the ecology and behaviour of Satyr Tragopan, (Tragopan satyra) in Singalila National Park, Darjeeling, India",Department of Zoology,Darjeeling,"University of North Bengal, Darjeeling",210,Ph.D.,TD-00296,Galliformes,
,Phasianidae,,,,,,,,,,
,Tragopan satyra,,,,,,,,,,
,Lower Gangetic Plains,,,,,,,,,,
,Bamboo forests,,,,,,,,,,
,Rhododendron forest,,,,,,,,,,
,Grasslands,,,,,,,,,,
,Species ecology & life-history strategies,,,,,,,,,,
,Habitat preference,,,,,,,,,,
